Datetime,Close,High,Low,Open,Volume
2025-08-15 13:30:00+00:00,337.7200012207031,339.1600036621094,337.3949890136719,337.6549987792969,3007293
2025-08-15 13:31:00+00:00,338.0223083496094,339.29998779296875,337.6000061035156,337.6993103027344,507454
2025-08-15 13:32:00+00:00,337.94989013671875,338.5799865722656,337.5,338.010009765625,391285
2025-08-15 13:33:00+00:00,338.28448486328125,338.6600036621094,337.3599853515625,337.8900146484375,199706
2025-08-15 13:34:00+00:00,336.864990234375,338.2799987792969,336.7500915527344,338.2200012207031,640073
2025-08-15 13:35:00+00:00,336.2950134277344,337.1700134277344,336.060791015625,336.87060546875,487494
2025-08-15 13:36:00+00:00,335.7300109863281,336.25,335.57000732421875,336.25,406555
2025-08-15 13:37:00+00:00,335.1700134277344,335.83990478515625,334.8999938964844,335.7699890136719,408744
2025-08-15 13:38:00+00:00,335.29998779296875,335.9100036621094,334.92999267578125,335.2149963378906,300679
2025-08-15 13:39:00+00:00,334.875,335.3500061035156,334.8500061035156,335.2900085449219,286116
2025-08-15 13:40:00+00:00,335.0058898925781,335.20001220703125,334.5,334.8599853515625,336735
2025-08-15 13:41:00+00:00,334.5899963378906,335.3500061035156,334.5101013183594,334.9844970703125,310243
2025-08-15 13:42:00+00:00,335.07501220703125,335.20001220703125,334.2799987792969,334.53448486328125,295181
2025-08-15 13:43:00+00:00,335.57000732421875,335.9200134277344,334.8500061035156,335.1199035644531,532433
2025-08-15 13:44:00+00:00,334.8279113769531,335.57000732421875,334.739990234375,335.57000732421875,199341
2025-08-15 13:45:00+00:00,333.55999755859375,334.9469909667969,333.55999755859375,334.8114929199219,457131
2025-08-15 13:46:00+00:00,333.9200134277344,334.0199890136719,333.3800048828125,333.5950012207031,299527
2025-08-15 13:48:00+00:00,332.7409973144531,333.1300048828125,332.385009765625,332.9750061035156,813680
2025-08-15 13:49:00+00:00,332.54998779296875,333.04998779296875,332.3500061035156,332.77099609375,273172
2025-08-15 13:50:00+00:00,333.0400085449219,333.2699890136719,332.3301086425781,332.5249938964844,366197
2025-08-15 13:51:00+00:00,332.77850341796875,333.1199951171875,332.3800964355469,333.00421142578125,321335
2025-08-15 13:52:00+00:00,333.2814025878906,333.42999267578125,332.4949951171875,332.70269775390625,273846
2025-08-15 13:53:00+00:00,332.30999755859375,333.3066101074219,332.1401062011719,333.277587890625,311082
2025-08-15 13:54:00+00:00,332.4549865722656,332.80999755859375,332.2799987792969,332.5899963378906,242062
2025-08-15 13:55:00+00:00,333.25421142578125,333.57000732421875,332.43499755859375,332.44580078125,324109
2025-08-15 13:56:00+00:00,333.32000732421875,333.6487121582031,332.9126892089844,333.2550048828125,261202
2025-08-15 13:57:00+00:00,333.29998779296875,333.49609375,333.16259765625,333.322509765625,174539
2025-08-15 13:58:00+00:00,332.95001220703125,333.34991455078125,332.80999755859375,333.2799987792969,205121
2025-08-15 13:59:00+00:00,333.1300048828125,333.3839111328125,332.91180419921875,332.9800109863281,151162
2025-08-15 14:00:00+00:00,332.6484069824219,333.0498962402344,332.2301025390625,333.0,319202
2025-08-15 14:01:00+00:00,333.5398864746094,333.5899963378906,332.5379943847656,332.6099853515625,251883
2025-08-15 14:02:00+00:00,333.3099060058594,333.79998779296875,333.04998779296875,333.5398864746094,240607
2025-08-15 14:03:00+00:00,333.75,333.7799987792969,333.2423095703125,333.2699890136719,192159
2025-08-15 14:04:00+00:00,333.8196105957031,334.08990478515625,333.5586853027344,333.7250061035156,270741
2025-08-15 14:05:00+00:00,333.5400085449219,334.32989501953125,333.44000244140625,333.8500061035156,305161
2025-08-15 14:06:00+00:00,333.7850036621094,334.1899108886719,333.489990234375,333.5498962402344,189295
2025-08-15 14:07:00+00:00,333.760009765625,334.0,333.6650085449219,333.760009765625,123479
2025-08-15 14:08:00+00:00,333.57000732421875,333.8699951171875,333.32000732421875,333.7799987792969,201674
2025-08-15 14:09:00+00:00,333.7550048828125,333.8800048828125,333.4200134277344,333.6199951171875,132087
2025-08-15 14:10:00+00:00,333.3900146484375,333.8500061035156,333.1300964355469,333.82000732421875,209562
2025-08-15 14:11:00+00:00,332.94000244140625,333.5199890136719,332.8699951171875,333.3599853515625,248082
2025-08-15 14:12:00+00:00,332.3500061035156,332.97930908203125,332.25,332.92999267578125,295826
2025-08-15 14:13:00+00:00,332.45001220703125,332.8399963378906,332.2850036621094,332.3450012207031,182196
2025-08-15 14:14:00+00:00,332.9750061035156,333.0498962402344,332.4800109863281,332.5154113769531,161917
2025-08-15 14:15:00+00:00,333.2349853515625,333.5199890136719,332.9800109863281,333.06500244140625,180635
2025-08-15 14:16:00+00:00,332.8800964355469,333.2449951171875,332.8500061035156,333.2099914550781,134409
2025-08-15 14:17:00+00:00,332.81561279296875,332.9800109863281,332.57000732421875,332.8599853515625,144341
2025-08-15 14:18:00+00:00,332.29998779296875,332.875,332.25,332.8399963378906,248350
2025-08-15 14:19:00+00:00,332.8399963378906,332.8599853515625,332.2300109863281,332.29998779296875,187399
2025-08-15 14:20:00+00:00,332.63580322265625,333.260009765625,332.53009033203125,332.82000732421875,204479
2025-08-15 14:21:00+00:00,332.8599853515625,333.0199890136719,332.489990234375,332.6199951171875,133504
2025-08-15 14:22:00+00:00,333.29901123046875,333.3699951171875,332.840087890625,332.8599853515625,147928
2025-08-15 14:23:00+00:00,333.2349853515625,333.4200134277344,333.21319580078125,333.2799987792969,161376
2025-08-15 14:24:00+00:00,332.614990234375,333.2900085449219,332.5199890136719,333.2349853515625,175819
2025-08-15 14:25:00+00:00,332.05010986328125,332.889892578125,332.05010986328125,332.590087890625,246045
2025-08-15 14:26:00+00:00,332.614990234375,332.7049865722656,331.8500061035156,332.0950012207031,372781
2025-08-15 14:27:00+00:00,332.3800048828125,332.7239074707031,332.1499938964844,332.5429992675781,142299
2025-08-15 14:28:00+00:00,332.94000244140625,333.05999755859375,332.3900146484375,332.3900146484375,189719
2025-08-15 14:29:00+00:00,332.8999938964844,332.9800109863281,332.739990234375,332.9796142578125,95457
2025-08-15 14:30:00+00:00,332.9898986816406,333.1300048828125,332.80010986328125,332.885009765625,133692
2025-08-15 14:31:00+00:00,332.5400085449219,333.0400085449219,332.4501037597656,332.9849853515625,153354
2025-08-15 14:32:00+00:00,332.60009765625,332.92999267578125,332.53009033203125,332.53009033203125,87372
2025-08-15 14:33:00+00:00,332.6044006347656,332.8800048828125,332.32000732421875,332.6050109863281,135216
2025-08-15 14:34:00+00:00,332.8500061035156,333.0473937988281,332.5199890136719,332.6400146484375,93527
2025-08-15 14:35:00+00:00,332.760009765625,332.9599914550781,332.6000061035156,332.8800048828125,83180
2025-08-15 14:36:00+00:00,332.8407897949219,332.989990234375,332.6600036621094,332.7616882324219,90635
2025-08-15 14:37:00+00:00,332.92999267578125,333.3599853515625,332.739990234375,332.864990234375,188555
2025-08-15 14:38:00+00:00,333.0950012207031,333.22869873046875,332.8699951171875,332.9747009277344,111552
2025-08-15 14:39:00+00:00,332.97589111328125,333.18280029296875,332.9200134277344,333.03619384765625,103048
2025-08-15 14:40:00+00:00,332.3500061035156,333.1499938964844,332.3500061035156,332.9750061035156,196113
2025-08-15 14:41:00+00:00,332.42999267578125,332.59991455078125,332.29998779296875,332.3599853515625,144932
2025-08-15 14:42:00+00:00,332.5899963378906,332.72039794921875,332.2799987792969,332.42999267578125,604915
2025-08-15 14:43:00+00:00,332.6859130859375,332.9200134277344,332.5350036621094,332.5899963378906,85190
2025-08-15 14:44:00+00:00,332.4198913574219,332.7300109863281,332.30999755859375,332.7099914550781,101431
2025-08-15 14:45:00+00:00,332.0899963378906,332.55999755859375,332.04998779296875,332.4200134277344,185196
2025-08-15 14:46:00+00:00,332.2049865722656,332.3299865722656,331.98089599609375,332.04998779296875,178985
2025-08-15 14:47:00+00:00,332.4849853515625,332.6600036621094,332.1199951171875,332.1700134277344,129362
2025-08-15 14:48:00+00:00,332.1499938964844,332.6000061035156,332.1400146484375,332.45001220703125,138743
